,subject_id,trial_index,colour,is_monolingual,num,is_dark,rt,language
3101,59f096e47f3d71000171e46b,309,blues,yes,13,1,5735.1,Russian
3111,59f096e47f3d71000171e46b,310,yellows,yes,8,0,2620.1,Russian
3121,59f096e47f3d71000171e46b,311,blues,yes,16,1,1802.3,Russian
3131,59f096e47f3d71000171e46b,312,reds,yes,7,0,1946.6,Russian
3141,59f096e47f3d71000171e46b,313,reds,yes,17,1,1537.4,Russian
3151,59f096e47f3d71000171e46b,314,blues,yes,12,1,4361.6,Russian
3161,59f096e47f3d71000171e46b,315,blues,yes,17,1,1046.7,Russian
3171,59f096e47f3d71000171e46b,316,browns,yes,15,1,2758,Russian
3181,59f096e47f3d71000171e46b,317,browns,yes,11,0,1234.3,Russian
3191,59f096e47f3d71000171e46b,318,reds,yes,12,1,4249.6,Russian
3201,59f096e47f3d71000171e46b,319,browns,yes,18,1,1507.3,Russian
3211,59f096e47f3d71000171e46b,320,browns,yes,3,0,997,Russian
3221,59f096e47f3d71000171e46b,321,reds,yes,13,1,2972.1,Russian
3231,59f096e47f3d71000171e46b,322,reds,yes,12,1,5506,Russian
3241,59f096e47f3d71000171e46b,323,yellows,yes,6,0,1080.3,Russian
3251,59f096e47f3d71000171e46b,324,browns,yes,16,1,1807.4,Russian
3261,59f096e47f3d71000171e46b,325,yellows,yes,12,1,1827,Russian
3271,59f096e47f3d71000171e46b,326,reds,yes,18,1,1453.1,Russian
3281,59f096e47f3d71000171e46b,327,reds,yes,7,0,773.8,Russian
3291,59f096e47f3d71000171e46b,328,reds,yes,6,0,1288.4,Russian
3301,59f096e47f3d71000171e46b,329,blues,yes,11,0,1418.1,Russian
3311,59f096e47f3d71000171e46b,330,blues,yes,15,1,1220.3,Russian
3321,59f096e47f3d71000171e46b,331,reds,yes,10,0,3245.3,Russian
3331,59f096e47f3d71000171e46b,332,browns,yes,20,1,2464.7,Russian
3341,59f096e47f3d71000171e46b,333,browns,yes,20,1,909.0999999,Russian
3351,59f096e47f3d71000171e46b,334,yellows,yes,7,0,3035.1,Russian
3361,59f096e47f3d71000171e46b,335,yellows,yes,20,1,1159.6,Russian
3371,59f096e47f3d71000171e46b,336,reds,yes,14,1,3810.7,Russian
3381,59f096e47f3d71000171e46b,337,blues,yes,16,1,1163.5,Russian
3391,59f096e47f3d71000171e46b,338,browns,yes,1,0,1440.9,Russian
3401,59f096e47f3d71000171e46b,339,blues,yes,19,1,1532.5,Russian
3411,59f096e47f3d71000171e46b,340,blues,yes,17,1,1439.7,Russian
3421,59f096e47f3d71000171e46b,341,yellows,yes,6,0,1463.3,Russian
3431,59f096e47f3d71000171e46b,342,blues,yes,3,0,1642.1,Russian
3441,59f096e47f3d71000171e46b,343,blues,yes,13,1,1052,Russian
3451,59f096e47f3d71000171e46b,344,blues,yes,18,1,1202.9,Russian
3461,59f096e47f3d71000171e46b,345,yellows,yes,1,0,1304.7,Russian
3471,59f096e47f3d71000171e46b,346,blues,yes,15,1,1329.9,Russian
3481,59f096e47f3d71000171e46b,347,yellows,yes,6,0,5377.2,Russian
3491,59f096e47f3d71000171e46b,348,reds,yes,9,0,1325.8,Russian
3501,59f096e47f3d71000171e46b,349,blues,yes,7,0,3913.4,Russian
3511,59f096e47f3d71000171e46b,350,browns,yes,13,0,3778,Russian
3521,59f096e47f3d71000171e46b,351,yellows,yes,1,0,2267.3,Russian
3531,59f096e47f3d71000171e46b,352,browns,yes,15,1,2034.4,Russian
3541,59f096e47f3d71000171e46b,353,yellows,yes,11,1,1187.5,Russian
3551,59f096e47f3d71000171e46b,354,reds,yes,5,0,1691.4,Russian
3561,59f096e47f3d71000171e46b,355,reds,yes,15,1,1531.2,Russian
3571,59f096e47f3d71000171e46b,356,reds,yes,10,0,1046.8,Russian
3581,59f096e47f3d71000171e46b,357,yellows,yes,16,1,1607.9,Russian
3601,59f096e47f3d71000171e46b,359,reds,yes,16,1,1272.2,Russian
3611,59f096e47f3d71000171e46b,360,browns,yes,10,0,1677.1,Russian
3621,59f096e47f3d71000171e46b,361,browns,yes,6,0,1198.5,Russian
3631,59f096e47f3d71000171e46b,362,reds,yes,8,0,1093.5,Russian
3641,59f096e47f3d71000171e46b,363,yellows,yes,5,0,939.3,Russian
3651,59f096e47f3d71000171e46b,364,yellows,yes,20,1,880.6000001,Russian
3661,59f096e47f3d71000171e46b,365,blues,yes,14,1,863.8000002,Russian
3671,59f096e47f3d71000171e46b,366,reds,yes,18,0,1378.4,Russian
3681,59f096e47f3d71000171e46b,367,browns,yes,18,1,2470.4,Russian
3691,59f096e47f3d71000171e46b,368,reds,yes,11,0,1296.8,Russian
3701,59f096e47f3d71000171e46b,369,blues,yes,5,0,1267.8,Russian
3711,59f096e47f3d71000171e46b,370,reds,yes,17,1,1544.9,Russian
3721,59f096e47f3d71000171e46b,371,reds,yes,3,0,2497,Russian
3731,59f096e47f3d71000171e46b,372,yellows,yes,1,0,1323.3,Russian
3741,59f096e47f3d71000171e46b,373,reds,yes,11,0,3624.6,Russian
3751,59f096e47f3d71000171e46b,374,browns,yes,2,0,1157.2,Russian
3761,59f096e47f3d71000171e46b,375,yellows,yes,3,0,1435.7,Russian
3771,59f096e47f3d71000171e46b,376,blues,yes,12,1,5112.9,Russian
3781,59f096e47f3d71000171e46b,377,reds,yes,5,0,1450,Russian
3791,59f096e47f3d71000171e46b,378,reds,yes,5,1,816.8,Russian
3801,59f096e47f3d71000171e46b,379,browns,yes,3,0,2015.7,Russian
