subject_id,trial_index,is_monolingual,colour,num,resp,resp_fixed,rt
54af2a48fdf99b09c01b3801,593,NA,blues,20,blue,blue,3010.8
54af2a48fdf99b09c01b3801,594,NA,reds,20,red,red,1069.7
54af2a48fdf99b09c01b3801,595,NA,reds,1,pink,pink,995.4000001
54af2a48fdf99b09c01b3801,596,NA,browns,20,brown,brown,1799.2
54af2a48fdf99b09c01b3801,597,NA,yellows,20,orange,orange,1240.4
54af2a48fdf99b09c01b3801,598,NA,blues,1,blue,blue,949.7000003
54af2a48fdf99b09c01b3801,599,NA,yellows,1,yellow,yellow,1651.2
54af2a48fdf99b09c01b3801,600,NA,browns,1,beige,beige,2123.1
557d84c8fdf99b4d577438df,593,NA,reds,1,pink,pink,8281.465
557d84c8fdf99b4d577438df,594,NA,browns,20,brown,brown,2263.975
557d84c8fdf99b4d577438df,595,NA,yellows,1,yellow,yellow,2423.345
557d84c8fdf99b4d577438df,596,NA,browns,1,beige,beige,3106.98
557d84c8fdf99b4d577438df,597,NA,yellows,20,orange,orange,2012.85
557d84c8fdf99b4d577438df,598,NA,reds,20,red,red,2335.315
557d84c8fdf99b4d577438df,599,NA,blues,1,blue,blue,2320.94
557d84c8fdf99b4d577438df,600,NA,blues,20,blue,blue,1873.685
5588d358fdf99b304ee5674f,593,NA,blues,20,blue,blue,2749.335
5588d358fdf99b304ee5674f,594,NA,reds,20,red,red,1897.89
5588d358fdf99b304ee5674f,595,NA,yellows,20,orange,orange,1824.54
5588d358fdf99b304ee5674f,596,NA,blues,1,light blue,light blue,3300.89
5588d358fdf99b304ee5674f,597,NA,yellows,1,yellow,yellow,1904.825
5588d358fdf99b304ee5674f,598,NA,reds,1,fuschia,fuschia,3234.035
5588d358fdf99b304ee5674f,599,NA,browns,20,brown,brown,1675.585
5588d358fdf99b304ee5674f,600,NA,browns,1,tan,tan,3232.365
55ae6a39fdf99b44a305f1eb,593,NA,browns,1,tan,tan,1848.8
55ae6a39fdf99b44a305f1eb,594,NA,yellows,1,yellow,yellow,3798.7
55ae6a39fdf99b44a305f1eb,595,NA,reds,20,red,red,1235.7
55ae6a39fdf99b44a305f1eb,596,NA,blues,1,blue,blue,1302.2
55ae6a39fdf99b44a305f1eb,597,NA,browns,20,brown,brown,1513.7
55ae6a39fdf99b44a305f1eb,598,NA,blues,20,blue,blue,1221.9
55ae6a39fdf99b44a305f1eb,599,NA,reds,1,pink,pink,1628.2
