spectrum,R (sRGB),G,B,L,a*,b*,Y,x,y,fx,fy,fz,eta,kappa,xr,yr,zr,Xr,Yr,Zr,X,Y,Z
blues,156.8946269,217.0057628,255.1184288,83.97120633,-9.852537943,-24.63431519,64.01044263,0.2524685957,0.2847111906,0.8421156683,0.8618207442,0.9849923202,0.008856,903.3,0.5971937358,0.6401044263,0.9556492717,95.047,100,108.883,56.76147301,64.01044263,104.0539597
blues,149.0299038,207.9754679,251.9399866,81.02337299,-7.945697062,-27.48358364,58.51337362,0.2481644606,0.2765626774,0.8205169937,0.8364083878,0.973826306,0.008856,903.3,0.5524115374,0.5851337362,0.9235161742,95.047,100,108.883,52.50505939,58.51337362,100.5552116
blues,141.2632764,198.9753673,248.721658,78.07553965,-5.956794261,-30.32083961,53.34039005,0.2437579265,0.2681030498,0.7990824429,0.8109960315,0.9626002295,0.008856,903.3,0.5102403103,0.5334039005,0.8919446044,95.047,100,108.883,48.49681077,53.34039005,97.11760436
blues,133.5949864,189.7681699,247.1235241,75.12770631,-3.289713645,-34.03951996,48.4816453,0.2383898025,0.2572214207,0.7790042478,0.7855836751,0.9557812749,0.008856,903.3,0.4727368723,0.484816453,0.873123251,95.047,100,108.883,44.9322215,48.4816453,95.06827893
blues,125.9844188,180.8213295,243.8191546,72.17987297,-1.113930835,-36.85424644,43.9272928,0.2337670117,0.2481240297,0.757943457,0.7601713187,0.9444425509,0.008856,903.3,0.4354220566,0.439272928,0.8424160579,95.047,100,108.883,41.38556022,43.9272928,91.72478764
blues,118.4514406,171.8913761,240.5391583,69.23203963,1.18094796,-39.69127186,39.66748594,0.2290087472,0.2386339511,0.7371208583,0.7347589623,0.9332153216,0.008856,903.3,0.4005125247,0.3966748594,0.8127286721,95.047,100,108.883,38.06751393,39.66748594,88.49233601
blues,110.8714426,162.6090797,239.6112808,66.28420629,4.500248587,-43.82635682,35.69237813,0.2228817875,0.2257920359,0.7183471031,0.709346606,0.92847839,0.008856,903.3,0.3706833115,0.3569237813,0.8004153348,95.047,100,108.883,35.23233671,35.69237813,87.1516229
blues,103.4138221,153.6925539,236.3557752,63.33637295,7.07018489,-46.70337655,31.99212277,0.2178644317,0.2155685662,0.6980746194,0.6839342496,0.9174511323,0.008856,903.3,0.3401774682,0.3199212277,0.7722338296,95.047,100,108.883,32.33284782,31.99212277,84.08313607
blues,95.94681061,144.6959816,233.599222,60.38853961,9.979198533,-49.8665712,28.55687327,0.2124747563,0.2043938727,0.6784802903,0.6585218932,0.9078547492,0.008856,903.3,0.3123285666,0.2855687327,0.7482541073,95.047,100,108.883,29.68589327,28.55687327,81.47215196
blues,88.43017953,135.6168424,231.2364521,57.44070627,13.2124045,-53.26205075,25.37678304,0.2067830023,0.1924423889,0.6595343458,0.6331095368,0.8994197906,0.008856,903.3,0.2868879124,0.2537678304,0.7275909999,95.047,100,108.883,27.26783541,25.37678304,79.22229084
